estacion_origen,estacion_destino,troncal_origen,troncal_destino,id_trazado_origen,id_trazado_destino,distancia_km_real,area_origen_m2,area_destino_m2,capacidad_origen,capacidad_destino,accesos_origen,accesos_destino,misma_troncal,hora_viaje,dia_semana,hora_pico,lluvia,nivel_retraso
Ciudad Universitaria - Lotería de Bogotá,La Campiña,El_Dorado,Suba,TZ016,TZ003,12.46,522.68,357.24,260,352,2,1,0,12,2,0,1,Medio
Quinta Paredes,De La Sabana,El_Dorado,Américas,TZ016,TZ009,3.78,289.47,385.88,260,168,1,2,0,18,4,1,0,Medio
Alcalá – Colegio S. Tomás Dominicos,Temporal Calle 22,Norte,Caracas,TZ002,TZ001,12.64,820.76,642.95,392,320,2,2,0,12,3,0,0,Bajo
Calle 85,Modelia,Norte,El_Dorado,TZ002,TZ016,6.38,865.68,288.87,320,260,1,1,0,7,6,0,1,Medio
Gobernación,Calle 75 - Zona M,El_Dorado,NQS,TZ016,TZ008,4.13,289.47,463.24,260,272,1,1,0,21,6,0,0,Bajo
Ricaurte - CL 13,Temporal Calle 22,Américas,Caracas,TZ009,TZ001,1.69,736.8,642.95,312,320,2,2,0,23,4,0,1,Bajo
Quiroga,Portal Tunal,Caracas_Sur,Tunal,TZ012,TZ014,2.87,345.4,0.0,144,152,1,2,0,10,4,0,0,Alto
Museo Nacional,AV. 1 Mayo,Carrera_7,Carrera_10,TZ019,TZ018,5.05,0.0,869.28,240,384,1,2,0,9,1,0,1,Medio
Universidad Nacional,Portal Suba,NQS,Suba,TZ008,TZ003,12.31,833.59966667,0.0,412,304,2,1,0,21,6,0,0,Medio
Paloquemao,Avenida Rojas - UNISALESIANA,NQS,El_Dorado,TZ008,TZ016,5.44,491.4,531.51,272,320,1,1,0,9,5,0,0,Bajo
Terreros - Hospital Cardio Vascular,AV. Cali,Soacha,Calle_80,TZ011,TZ005,16.74,358.0,568.6,356,304,1,1,0,19,0,1,0,Alto
Hospital,Campín - UAN,Caracas_Sur,NQS,TZ012,TZ008,5.66,369.48,491.28,96,272,2,2,0,4,5,0,1,Alto
Olaya,Tercer Milenio,Caracas_Sur,Caracas,TZ012,TZ001,3.37,307.28,644.0,296,320,1,2,0,4,1,0,0,Medio
CAD,Mandalay,NQS,Américas,TZ008,TZ009,6.38,520.28,347.115,272,240,2,1,0,8,6,0,0,Bajo
Terreros - Hospital Cardio Vascular,Portal Suba,Soacha,Suba,TZ011,TZ003,21.07,358.0,0.0,356,304,1,1,0,11,5,0,0,Alto
Marsella,Modelia,Américas,El_Dorado,TZ009,TZ016,5.24,521.145,288.87,320,260,1,1,0,16,5,0,0,Bajo
León XIII,Policarpa,Soacha,Carrera_10,TZ011,TZ018,11.78,358.0,494.72,224,264,1,2,0,12,3,0,0,Medio
Banderas,Minuto de Dios,Américas,Calle_80,TZ009,TZ005,9.42,0.0,576.0,608,296,2,1,0,5,5,0,0,Medio
Zona Industrial,Terminal,Américas,Norte,TZ009,TZ002,17.61,385.16,146.37,168,152,2,1,0,12,3,0,1,Medio
Tercer Milenio,CAD,Caracas,NQS,TZ001,TZ008,2.81,644.0,520.28,320,272,2,2,0,5,0,0,0,Bajo
Movistar Arena,21 Ángeles,NQS,Suba,TZ008,TZ003,9.51,491.28,376.6,272,144,1,1,0,8,1,1,0,Alto
Santa Lucía,Suba - Calle 95,Caracas_Sur,Suba,TZ012,TZ003,14.37,486.24,358.28,272,144,2,1,0,19,5,0,0,Alto
Niza - Calle 127,Terminal,Suba,Norte,TZ003,TZ002,7.07,374.24,146.37,200,152,2,1,0,10,5,0,0,Bajo
San Mateo - CC Unisur,Hortúa,Soacha,Caracas_Sur,TZ011,TZ012,12.78,492.8,401.8,424,192,3,2,0,7,5,0,0,Medio
Alcalá – Colegio S. Tomás Dominicos,Portal Sur - JFK Coop. Financiera,Norte,Autopista_Sur,TZ002,TZ010,19.01,820.76,0.0,392,228,2,2,0,21,6,0,0,Alto
Calle 146,Universidad Nacional,Norte,NQS,TZ002,TZ008,10.93,345.2,833.59966667,248,412,1,2,0,21,0,0,0,Medio
Las Nieves,Portal Américas,Carrera_10,Américas,TZ018,TZ009,11.25,520.4,0.0,264,342,2,1,0,9,5,0,0,Medio
Portal Norte – Unicervantes,Polo - FINCOMERCIO,Norte,Calle_80,TZ002,TZ005,9.61,0.0,880.0,210,360,1,1,0,6,2,1,0,Medio
Santa Isabel,Las Aguas - Centro Colombo Americano,Autopista_Sur,Eje_Ambiental,TZ010,TZ015,3.79,357.04,0.0,240,120,1,3,0,9,0,0,0,Alto
Distrito Grafiti,AV. 39,Américas,Caracas,TZ009,TZ001,4.75,347.145,644.0,272,312,1,2,0,23,1,0,0,Bajo
Quirigua,Bosa,Calle_80,Autopista_Sur,TZ005,TZ010,14.62,183.0,504.32,152,272,1,2,0,16,0,0,0,Medio
Calle 45 - American School Way,Quiroga,Caracas,Caracas_Sur,TZ001,TZ012,7.97,638.89,345.4,320,144,2,1,0,9,2,0,1,Alto
Alcalá – Colegio S. Tomás Dominicos,Portal Américas,Norte,Américas,TZ002,TZ009,16.9,820.76,0.0,392,342,2,1,0,19,0,1,1,Alto
Calle 85,AV. 39,Norte,Caracas,TZ002,TZ001,5.15,865.68,644.0,320,312,1,2,0,9,4,0,0,Bajo
Calle 127,Niza - Calle 127,Norte,Suba,TZ002,TZ003,2.16,418.28,374.24,200,200,1,2,0,23,1,0,0,Bajo
Calle 75 - Zona M,Minuto de Dios,NQS,Calle_80,TZ008,TZ005,3.75,463.24,576.0,272,296,1,1,0,5,5,0,0,Bajo
Portal Suba,San Martín,Suba,Suba,TZ003,TZ003,8.39,0.0,357.48,304,192,1,1,1,19,0,1,0,Medio
7 de Agosto,Granja - Kr 77,NQS,Calle_80,TZ008,TZ005,5.08,492.92,1540.0,260,392,1,2,0,7,6,0,0,Bajo
SENA,Portal El Dorado – C.C. Nuestro Bogotá,Autopista_Sur,El_Dorado,TZ010,TZ016,9.44,400.04,0.0,304,216,1,1,0,4,5,0,0,Medio
Zona Industrial,AV. Cali,Américas,Calle_80,TZ009,TZ005,9.14,385.16,568.6,168,304,2,1,0,23,4,0,0,Medio
Temporal Marly,Terminal,Caracas,Norte,TZ001,TZ002,14.82,594.44,146.37,320,152,2,1,0,7,1,1,0,Medio
AV. Chile,Toberin - Foundever,NQS,Norte,TZ008,TZ002,9.38,694.56,1206.0,344,552,2,1,0,8,3,1,0,Medio
Rionegro,Museo Nacional,Suba,Carrera_7,TZ003,TZ019,7.26,356.84,0.0,144,240,1,1,0,19,2,1,0,Alto
Mandalay,Portal Usme,Américas,Usme,TZ009,TZ013,11.29,347.115,0.0,240,210,1,1,0,15,2,0,0,Medio
CAN,Carrera 47,El_Dorado,Calle_80,TZ016,TZ005,4.47,289.44,620.0,260,304,1,1,0,4,5,0,0,Bajo
Quiroga,Danubio,Caracas_Sur,Usme,TZ012,TZ013,3.76,345.4,996.0,144,304,1,2,0,14,4,0,0,Alto
Nariño,Héroes,Caracas_Sur,Norte,TZ012,TZ002,9.83,353.96,669.6,144,264,1,1,0,13,6,0,0,Alto
Terreros - Hospital Cardio Vascular,Movistar Arena,Soacha,NQS,TZ011,TZ008,15.05,358.0,491.28,356,272,1,1,0,5,5,0,0,Alto
Molinos,AV. Boyacá,Caracas_Sur,Calle_80,TZ012,TZ005,15.7,432.48,672.6,304,304,2,1,0,12,5,0,0,Medio
Guatoque - Veraguas,AV. Chile,Calle_13,NQS,TZ007,TZ008,7.27,415.2,694.56,240,344,1,2,0,8,0,1,0,Medio
Hortúa,Santa Lucía,Caracas_Sur,Caracas_Sur,TZ012,TZ012,4.41,401.8,486.24,192,272,2,2,1,13,1,0,0,Bajo
Perdomo,Calle 19,Autopista_Sur,Caracas,TZ010,TZ001,9.86,396.96,638.715,200,320,1,2,0,19,1,1,1,Alto
Calle 72,Rionegro,Caracas,Suba,TZ001,TZ003,2.48,734.52,356.84,0,144,2,1,0,6,4,1,1,Alto
Humedal Córdoba,Quirigua,Suba,Calle_80,TZ003,TZ005,4.16,357.6,183.0,156,152,1,1,0,5,4,0,0,Bajo
Banderas,Centro Memoria,Américas,El_Dorado,TZ009,TZ016,7.79,0.0,520.04,608,260,2,2,0,6,2,1,1,Medio
Alquería,Niza - Calle 127,Autopista_Sur,Suba,TZ010,TZ003,14.78,357.0,374.24,204,200,1,2,0,22,4,0,0,Medio
Suba - Calle 100,Biblioteca,Suba,Tunal,TZ003,TZ014,14.89,357.56,0.0,304,60,1,1,0,9,2,0,0,Medio
Carrera 53,Las Nieves,Calle_80,Carrera_10,TZ005,TZ018,8.43,183.0,520.4,152,264,1,2,0,16,1,0,1,Medio
León XIII,Puente Aranda,Soacha,Américas,TZ011,TZ009,10.49,358.0,356.8,224,168,1,1,0,21,0,0,0,Medio
Héroes,Tercer Milenio,Norte,Caracas,TZ002,TZ001,8.21,669.6,644.0,264,320,1,2,0,20,3,0,0,Bajo
Santa Isabel,SENA,Autopista_Sur,Autopista_Sur,TZ010,TZ010,1.01,357.04,400.04,240,304,1,1,1,13,5,0,0,Bajo
Modelia,Humedal Córdoba,El_Dorado,Suba,TZ016,TZ003,6.19,288.87,357.6,260,156,1,1,0,23,5,0,0,Bajo
Calle 161,Perdomo,Norte,Autopista_Sur,TZ002,TZ010,20.79,517.86,396.96,96,200,1,1,0,8,5,0,1,Alto
Biblioteca,Gratamira,Tunal,Suba,TZ014,TZ003,18.53,0.0,357.4,60,144,1,1,0,17,5,0,0,Alto
Restrepo,Patio Bonito,Caracas_Sur,Américas,TZ012,TZ009,9.03,480.68,896.4,200,304,2,2,0,20,3,0,0,Medio
CAD,Portal Américas,NQS,Américas,TZ008,TZ009,9.87,520.28,0.0,272,342,2,1,0,22,4,0,1,Medio
Carrera 53,Suba - AV. Boyacá,Calle_80,Suba,TZ005,TZ003,4.4,183.0,707.0,152,144,1,2,0,22,2,0,1,Medio
NQS - Calle 30 S,Alquería,Autopista_Sur,Autopista_Sur,TZ010,TZ010,1.82,358.48,357.0,232,204,1,1,1,13,5,0,1,Medio
Temporal Calle 22,CAD,Caracas,NQS,TZ001,TZ008,1.77,642.95,520.28,320,272,2,2,0,8,4,1,0,Medio
Molinos,León XIII,Caracas_Sur,Soacha,TZ012,TZ011,8.82,432.48,358.0,304,224,2,1,0,19,0,1,1,Alto
Temporal Marly,Temporal Calle 34,Caracas,Caracas,TZ001,TZ001,1.81,594.44,526.4,320,320,2,2,1,11,2,0,0,Bajo
León XIII,Calle 75 - Zona M,Soacha,NQS,TZ011,TZ008,16.05,358.0,463.24,224,272,1,1,0,22,4,0,0,Alto
Las Aguas - Centro Colombo Americano,Suba - AV. Boyacá,Eje_Ambiental,Suba,TZ015,TZ003,13.22,0.0,707.0,120,144,3,2,0,6,1,1,1,Alto
El Tiempo – Cámara de Comercio de Bogotá,Flores – Areandina,El_Dorado,Caracas,TZ016,TZ001,4.73,289.44,384.125,240,192,1,2,0,14,2,0,0,Bajo
AV. Jiménez - Caracas,Temporal Calle 57,Caracas,Caracas,TZ001,TZ001,4.74,631.155,526.365,288,320,2,2,1,9,0,0,0,Bajo
San Martín,San Facon Carrera 22,Suba,Américas,TZ003,TZ009,7.72,357.48,520.64,192,272,1,2,0,22,6,0,0,Bajo
Portal Norte – Unicervantes,Escuela Militar,Norte,Calle_80,TZ002,TZ005,9.18,0.0,488.0,210,272,1,1,0,10,4,0,0,Medio
Banderas,El Tiempo – Cámara de Comercio de Bogotá,Américas,El_Dorado,TZ009,TZ016,5.29,0.0,289.44,608,240,2,1,0,11,0,0,1,Medio
Calle 161,Santa Lucía,Norte,Caracas_Sur,TZ002,TZ012,20.82,517.86,486.24,96,272,1,2,0,14,4,0,0,Alto
Temporal Calle 57,Ricaurte - CL 13,Caracas,Américas,TZ001,TZ009,4.31,526.365,736.8,320,312,2,2,0,4,1,0,0,Bajo
Carrera 43 - Comapan,AV. ElDorado,Américas,NQS,TZ009,TZ008,2.55,385.8,192.4,168,260,2,1,0,9,0,0,0,Bajo
CC Paseo Villa del Río - Madelena,21 Ángeles,Autopista_Sur,Suba,TZ010,TZ003,17.62,357.0,376.6,204,144,1,1,0,16,2,0,0,Alto
Calle 26,Calle 40 Sur,Caracas,Caracas_Sur,TZ001,TZ012,6.99,638.82,719.68,0,392,2,2,0,9,5,0,0,Medio
NQS - Calle 30 S,Pradera - Plaza Central,Autopista_Sur,Américas,TZ010,TZ009,3.75,358.48,268.83,232,200,1,1,0,22,1,0,0,Medio
San Victorino,Puentelargo,Carrera_10,Suba,TZ018,TZ003,10.33,791.2,357.44,384,200,2,1,0,17,5,0,0,Medio
Transversal 86,Mazurén,Américas,Norte,TZ009,TZ002,15.95,347.13,552.416,240,248,1,1,0,16,0,0,1,Medio
Calle 127,Rionegro,Norte,Suba,TZ002,TZ003,2.94,418.28,356.84,200,144,1,1,0,23,2,0,0,Medio
Suba - Calle 116,Policarpa,Suba,Carrera_10,TZ003,TZ018,12.72,386.4,494.72,200,264,1,2,0,10,1,0,0,Medio
AV. Jiménez - CL 13,De La Sabana,Eje_Ambiental,Américas,TZ015,TZ009,0.41,0.0,385.88,272,168,1,2,0,19,4,1,0,Medio
Minuto de Dios,Movistar Arena,Calle_80,NQS,TZ005,TZ008,5.42,576.0,491.28,296,272,1,1,0,18,0,1,0,Medio
Granja - Kr 77,Comuneros,Calle_80,Autopista_Sur,TZ005,TZ010,10.56,1540.0,520.64,392,252,2,2,0,18,0,1,1,Alto
Biblioteca,SENA,Tunal,Autopista_Sur,TZ014,TZ010,3.72,0.0,400.04,60,304,1,1,0,20,6,0,0,Alto
General Santander,Gratamira,Autopista_Sur,Suba,TZ010,TZ003,16.08,0.0,357.4,404,144,1,1,0,8,0,1,0,Alto
Alquería,Corferias,Autopista_Sur,El_Dorado,TZ010,TZ016,6.65,357.0,424.28,204,252,1,1,0,14,0,0,1,Medio
Paloquemao,Quinta Paredes,NQS,El_Dorado,TZ008,TZ016,2.32,491.4,289.47,272,260,1,1,0,22,0,0,0,Bajo
Portal 80,Polo - FINCOMERCIO,Calle_80,Calle_80,TZ005,TZ005,6.76,0.0,880.0,165,360,1,1,1,10,3,0,1,Bajo
Restrepo,Ricaurte - NQS,Caracas_Sur,NQS,TZ012,TZ008,3.42,480.68,996.188,200,392,2,2,0,8,0,1,0,Medio
Pradera - Plaza Central,Hospital,Américas,Caracas_Sur,TZ009,TZ012,5.17,268.83,369.48,200,96,1,2,0,5,4,0,1,Alto
Prado,Alcalá – Colegio S. Tomás Dominicos,Norte,Norte,TZ002,TZ002,0.74,592.0,820.76,248,392,1,2,1,17,4,1,0,Bajo
Portal 80,AV. Jiménez - Caracas,Calle_80,Caracas,TZ005,TZ001,12.35,0.0,631.155,165,288,1,2,0,10,5,0,0,Medio
Patio Bonito,Humedal Córdoba,Américas,Suba,TZ009,TZ003,13.19,896.4,357.6,304,156,2,1,0,6,0,1,0,Medio
Suba - AV. Boyacá,AV. 68,Suba,Calle_80,TZ003,TZ005,3.97,707.0,576.0,144,296,2,1,0,20,0,0,1,Medio
San Facon Carrera 22,Portal Suba,Américas,Suba,TZ009,TZ003,15.27,520.64,0.0,272,304,2,1,0,16,3,0,0,Medio
León XIII,El Tiempo – Cámara de Comercio de Bogotá,Soacha,El_Dorado,TZ011,TZ016,12.09,358.0,289.44,224,240,1,1,0,11,3,0,0,Medio
Sevillana,Calle 26,Autopista_Sur,Caracas,TZ010,TZ001,8.68,397.12,638.82,204,0,1,2,0,21,2,0,0,Alto
Country Sur,NQS - Calle 30 S,Carrera_10,Autopista_Sur,TZ018,TZ010,3.36,461.24,358.48,264,232,2,1,0,10,3,0,1,Medio
CDS - Carrera 32,Quinta Paredes,Américas,El_Dorado,TZ009,TZ016,2.38,385.72,289.47,168,260,2,1,0,5,2,0,0,Bajo
Ciudad Jardín - UAN,Molinos,Carrera_10,Caracas_Sur,TZ018,TZ012,4.42,433.12,432.48,264,304,1,2,0,23,1,0,0,Medio
Bosa,San Bernardo,Autopista_Sur,Carrera_10,TZ010,TZ018,10.77,504.32,462.84,272,264,2,2,0,7,3,1,0,Alto
Humedal Córdoba,Concejo de Bogotá,Suba,El_Dorado,TZ003,TZ016,9.03,357.6,491.52,156,260,1,1,0,17,6,0,0,Medio
AV. 39,Biblioteca,Caracas,Tunal,TZ001,TZ014,9.29,644.0,0.0,312,60,2,1,0,21,1,0,0,Medio
Banderas,Granja - Kr 77,Américas,Calle_80,TZ009,TZ005,9.35,0.0,1540.0,608,392,2,2,0,11,5,0,0,Medio
Suba - Calle 100,Portal Sur - JFK Coop. Financiera,Suba,Autopista_Sur,TZ003,TZ010,15.34,357.56,0.0,304,228,1,2,0,10,2,0,0,Alto
AV. ElDorado,Universidad Nacional,NQS,NQS,TZ008,TZ008,0.72,192.4,833.59966667,260,412,1,2,1,23,4,0,0,Bajo
Rionegro,Gobernación,Suba,El_Dorado,TZ003,TZ016,5.46,356.84,289.47,144,260,1,1,0,9,6,0,1,Medio
Pepe Sierra,Portal Tunal,Norte,Tunal,TZ002,TZ014,17.05,418.48,0.0,200,152,1,2,0,21,3,0,0,Medio
Héroes,Biblioteca Tintal,Norte,Américas,TZ002,TZ009,11.48,669.6,896.4,264,304,1,2,0,13,6,0,0,Bajo
Ciudad Universitaria - Lotería de Bogotá,Calle 72,El_Dorado,Caracas,TZ016,TZ001,3.86,522.68,734.52,260,0,2,2,0,23,4,0,0,Medio
San Victorino,Comuneros,Carrera_10,Autopista_Sur,TZ018,TZ010,2.51,791.2,520.64,384,252,2,2,0,15,6,0,0,Medio
Normandía,Restrepo,El_Dorado,Caracas_Sur,TZ016,TZ012,9.78,318.09,480.68,260,200,1,2,0,22,1,0,0,Medio
Tygua - San José,Portal Suba,Calle_13,Suba,TZ007,TZ003,16.36,486.68,0.0,228,304,2,1,0,12,0,0,0,Medio
Normandía,Alcalá – Colegio S. Tomás Dominicos,El_Dorado,Norte,TZ016,TZ002,8.98,318.09,820.76,260,392,1,2,0,16,4,0,1,Medio
Granja - Kr 77,AV. Cali,Calle_80,Calle_80,TZ005,TZ005,0.6,1540.0,568.6,392,304,2,1,1,17,0,1,0,Bajo
Prado,San Diego,Norte,Carrera_10,TZ002,TZ018,11.72,592.0,1392.36,248,288,1,2,0,19,2,1,0,Medio
Calle 19,Calle 72,Caracas,Caracas,TZ001,TZ001,5.84,638.715,734.52,320,0,2,2,1,13,1,0,1,Bajo
Biblioteca,Carrera 53,Tunal,Calle_80,TZ014,TZ005,13.72,0.0,183.0,60,152,1,1,0,18,1,1,0,Alto
Santa Isabel,Alquería,Autopista_Sur,Autopista_Sur,TZ010,TZ010,3.6,357.04,357.0,240,204,1,1,1,5,3,0,0,Bajo
AV. Américas - AV. Boyacá,AV. Boyacá,Américas,Calle_80,TZ009,TZ005,8.81,347.145,672.6,272,304,1,1,0,8,2,1,0,Medio
Olaya,Parque,Caracas_Sur,Tunal,TZ012,TZ014,3.32,307.28,0.0,296,60,1,2,0,12,5,0,0,Alto
Marsella,AV. Jiménez - Caracas,Américas,Caracas,TZ009,TZ001,6.27,521.145,631.155,320,288,1,2,0,8,3,1,0,Medio
Prado,Virrey,Norte,Norte,TZ002,TZ002,4.35,592.0,773.12,248,352,1,1,1,7,3,1,0,Bajo
Salitre - El Greco,General Santander,El_Dorado,Autopista_Sur,TZ016,TZ010,7.08,289.44,0.0,260,404,1,1,0,11,0,0,0,Medio
La Campiña,Calle 72,Suba,Caracas,TZ003,TZ001,9.93,357.24,734.52,352,0,1,2,0,4,2,0,1,Alto
Portal Usme,Portal Américas,Usme,Américas,TZ013,TZ009,12.38,0.0,0.0,210,342,1,1,0,22,1,0,0,Medio
Avenida Rojas - UNISALESIANA,Tercer Milenio,El_Dorado,Caracas,TZ016,TZ001,7.61,531.51,644.0,320,320,1,2,0,14,2,0,0,Bajo
La Campiña,Carrera 47,Suba,Calle_80,TZ003,TZ005,7.49,357.24,620.0,352,304,1,1,0,10,1,0,0,Bajo
Olaya,Portal El Dorado – C.C. Nuestro Bogotá,Caracas_Sur,El_Dorado,TZ012,TZ016,11.53,307.28,0.0,296,216,1,1,0,21,3,0,0,Medio
Biblioteca Tintal,AV. ElDorado,Américas,NQS,TZ009,TZ008,8.84,896.4,192.4,304,260,2,1,0,20,0,0,0,Medio
NQS - Calle 30 S,Calle 106 - Maletas Explora,Autopista_Sur,Norte,TZ010,TZ002,12.88,358.48,627.42,232,248,1,1,0,8,3,1,0,Alto
Olaya,San Mateo - CC Unisur,Caracas_Sur,Soacha,TZ012,TZ011,10.9,307.28,492.8,296,424,1,3,0,21,5,0,0,Medio
CC Paseo Villa del Río - Madelena,Hospital,Autopista_Sur,Caracas_Sur,TZ010,TZ012,7.83,357.0,369.48,204,96,1,2,0,7,1,1,1,Alto
Ciudad Universitaria - Lotería de Bogotá,San Mateo - CC Unisur,El_Dorado,Soacha,TZ016,TZ011,14.41,522.68,492.8,260,424,2,3,0,15,0,0,0,Medio
Temporal Marly,Suba - TV. 91,Caracas,Suba,TZ001,TZ003,11.49,594.44,1095.56,320,264,2,2,0,17,1,1,0,Medio
Universidad Nacional,San Martín,NQS,Suba,TZ008,TZ003,4.57,833.59966667,357.48,412,192,2,1,0,16,3,0,0,Bajo
Quinta Paredes,De La Sabana,El_Dorado,Américas,TZ016,TZ009,3.78,289.47,385.88,260,168,1,2,0,20,1,0,0,Bajo
Universidades – CityU,Suba - Calle 116,El_Dorado,Suba,TZ016,TZ003,10.52,491.4,386.4,260,200,2,1,0,12,1,0,0,Medio
Socorro,Portal Usme,Caracas_Sur,Usme,TZ012,TZ013,3.73,329.6,0.0,200,210,1,1,0,18,6,0,0,Medio
Calle 45 - American School Way,Modelia,Caracas,El_Dorado,TZ001,TZ016,7.3,638.89,288.87,320,260,2,1,0,19,2,1,0,Medio
AV. 1 Mayo,La Despensa,Carrera_10,Soacha,TZ018,TZ011,10.65,869.28,358.0,384,224,2,1,0,12,5,0,0,Medio
Suba - TV. 91,La Campiña,Suba,Suba,TZ003,TZ003,0.62,1095.56,357.24,264,352,2,1,1,6,4,1,0,Bajo
Las Nieves,Toberin - Foundever,Carrera_10,Norte,TZ018,TZ002,15.87,520.4,1206.0,264,552,2,1,0,22,1,0,1,Medio
General Santander,Calle 72,Autopista_Sur,Caracas,TZ010,TZ001,10.38,0.0,734.52,404,0,1,2,0,5,3,0,0,Alto
Guatoque - Veraguas,Carrera 53,Calle_13,Calle_80,TZ007,TZ005,8.85,415.2,183.0,240,152,1,1,0,16,1,0,1,Medio
Calle 146,Calle 106 - Maletas Explora,Norte,Norte,TZ002,TZ002,4.27,345.2,627.42,248,248,1,1,1,4,1,0,0,Bajo
Paloquemao,Calle 76 - San Felipe,NQS,Caracas,TZ008,TZ001,6.01,491.4,637.875,272,320,1,2,0,12,3,0,0,Bajo
Héroes,General Santander,Norte,Autopista_Sur,TZ002,TZ010,11.3,669.6,0.0,264,404,1,1,0,6,6,0,0,Medio
Museo del Oro,Gratamira,Eje_Ambiental,Suba,TZ015,TZ003,14.05,0.0,357.4,144,144,2,1,0,8,5,0,1,Alto
Las Nieves,Calle 45 - American School Way,Carrera_10,Caracas,TZ018,TZ001,2.91,520.4,638.89,264,320,2,2,0,6,5,0,0,Bajo
Portal Tunal,Calle 26,Tunal,Caracas,TZ014,TZ001,9.09,0.0,638.82,152,0,2,2,0,8,0,1,0,Alto
Campín - UAN,Distrito Grafiti,NQS,Américas,TZ008,TZ009,4.13,491.28,347.145,272,272,2,1,0,16,0,0,0,Bajo
7 de Agosto,Calle 106 - Maletas Explora,NQS,Norte,TZ008,TZ002,4.63,492.92,627.42,260,248,1,1,0,7,0,1,0,Medio
Portal Usme,Ciudad Jardín - UAN,Usme,Carrera_10,TZ013,TZ018,6.41,0.0,433.12,210,264,1,1,0,13,4,0,0,Medio
CAD,Rionegro,NQS,Suba,TZ008,TZ003,6.68,520.28,356.84,272,144,2,1,0,5,6,0,0,Medio
Portal Norte – Unicervantes,Socorro,Norte,Caracas_Sur,TZ002,TZ012,22.89,0.0,329.6,210,200,1,1,0,18,1,1,1,Alto
Calle 75 - Zona M,Paloquemao,NQS,NQS,TZ008,TZ008,6.25,463.24,491.4,272,272,1,1,1,10,5,0,0,Bajo
Toberin - Foundever,Carrera 47,Norte,Calle_80,TZ002,TZ005,8.14,1206.0,620.0,552,304,1,1,0,9,5,0,0,Bajo
AV. 1 Mayo,Universidades – CityU,Carrera_10,El_Dorado,TZ018,TZ016,4.25,869.28,491.4,384,260,2,2,0,19,5,0,0,Bajo
Paloquemao,Movistar Arena,NQS,NQS,TZ008,TZ008,3.89,491.4,491.28,272,272,1,1,1,8,5,0,0,Bajo
Calle 187,Ricaurte - NQS,Norte,NQS,TZ002,TZ008,17.73,122.7,996.188,152,392,1,2,0,6,0,1,0,Alto
Calle 45 - American School Way,La Despensa,Caracas,Soacha,TZ001,TZ011,13.94,638.89,358.0,320,224,2,1,0,22,2,0,1,Alto
Gobernación,Campín - UAN,El_Dorado,NQS,TZ016,TZ008,2.0,289.47,491.28,260,272,1,2,0,21,5,0,0,Bajo
AV. Boyacá,Toberin - Foundever,Calle_80,Norte,TZ005,TZ002,7.3,672.6,1206.0,304,552,1,1,0,20,0,0,0,Bajo
Temporal Marly,AV. 1 Mayo,Caracas,Carrera_10,TZ001,TZ018,7.37,594.44,869.28,320,384,2,2,0,6,1,1,0,Medio
Ciudad Universitaria - Lotería de Bogotá,Portal 80,El_Dorado,Calle_80,TZ016,TZ005,9.27,522.68,0.0,260,165,2,1,0,6,5,0,0,Medio
Transversal 86,Biblioteca Tintal,Américas,Américas,TZ009,TZ009,0.91,347.13,896.4,240,304,1,2,1,23,6,0,0,Bajo
Portal Usme,Gobernación,Usme,El_Dorado,TZ013,TZ016,12.61,0.0,289.47,210,260,1,1,0,22,2,0,0,Medio
Calle 45 - American School Way,Toberin - Foundever,Caracas,Norte,TZ001,TZ002,12.96,638.89,1206.0,320,552,2,1,0,17,1,1,0,Medio
Suba - Calle 116,NQS - Calle 38A S,Suba,Autopista_Sur,TZ003,TZ010,13.16,386.4,615.8,200,212,1,1,0,13,3,0,0,Medio
Calle 161,Suba - Calle 95,Norte,Suba,TZ002,TZ003,6.58,517.86,358.28,96,144,1,1,0,12,6,0,1,Medio
Patio Bonito,Perdomo,Américas,Autopista_Sur,TZ009,TZ010,4.16,896.4,396.96,304,200,2,1,0,21,5,0,1,Medio
Calle 72,Bicentenario,Caracas,Carrera_10,TZ001,TZ018,7.47,734.52,733.04,0,384,2,1,0,4,3,0,0,Medio
Gobernación,Virrey,El_Dorado,Norte,TZ016,TZ002,5.56,289.47,773.12,260,352,1,1,0,9,0,0,0,Bajo
Alquería,Terminal,Autopista_Sur,Norte,TZ010,TZ002,21.86,357.0,146.37,204,152,1,1,0,10,5,0,0,Alto
Comuneros,Concejo de Bogotá,Autopista_Sur,El_Dorado,TZ010,TZ016,3.25,520.64,491.52,252,260,2,1,0,6,0,1,0,Medio
Comuneros,Paloquemao,Autopista_Sur,NQS,TZ010,TZ008,1.81,520.64,491.4,252,272,2,1,0,19,0,1,0,Medio
Museo del Oro,Portal Norte – Unicervantes,Eje_Ambiental,Norte,TZ015,TZ002,17.32,0.0,0.0,144,210,2,1,0,19,0,1,1,Alto
Gobernación,Las Nieves,El_Dorado,Carrera_10,TZ016,TZ018,4.77,289.47,520.4,260,264,1,2,0,20,2,0,0,Bajo
AV. Cali,Carrera 43 - Comapan,Calle_80,Américas,TZ005,TZ009,8.86,568.6,385.8,304,168,1,2,0,18,0,1,1,Alto
Temporal Calle 22,Portal Américas,Caracas,Américas,TZ001,TZ009,11.02,642.95,0.0,320,342,2,1,0,15,3,0,1,Medio
